clip_name,system_1,system_2
1_wayne_0_1_1-segment_1,SZ,SA
1_wayne_0_2_2-segment_2,NA,SB
1_wayne_0_3_3-segment_3,SA,BA
1_wayne_0_4_4-segment_1,SZ,NA
1_wayne_0_5_5-segment_2,BA,BA
2_scott_0_1_1-segment_4,SA,BA
2_scott_0_2_2-segment_2,NA,BA
2_scott_0_3_3-segment_1,SB,BA
2_scott_0_4_4-segment_2,SB,NA
2_scott_0_5_5-segment_4,SB,NA
3_solomon_0_1_1-segment_1,SA,SB
3_solomon_0_2_2-segment_2,BA,SB
3_solomon_0_3_3-segment_1,NA,SZ
3_solomon_0_4_4-segment_2,SA,BA
3_solomon_0_5_5-segment_4,SA,SB
4_lawrence_0_1_1-segment_1,BA,BA
4_lawrence_0_2_2-segment_2,NA,SZ
4_lawrence_0_3_3-segment_1,BA,SA
4_lawrence_0_4_4-segment_2,SB,BA
4_lawrence_0_5_5-segment_4,NA,NA
5_stewart_0_1_1-segment_1,SB,SB
5_stewart_0_2_2-segment_2,SA,SB
5_stewart_0_3_3-segment_1,SZ,BA
5_stewart_0_4_4-segment_2,BA,BA
5_stewart_0_5_5-segment_4,NA,SB
