clip_name,system_1,system_2
1_wayne_0_1_1-segment_1,SA,SB
1_wayne_0_2_2-segment_2,SZ,BA
1_wayne_0_3_3-segment_3,NA,SB
1_wayne_0_4_4-segment_1,BA,SA
1_wayne_0_5_5-segment_2,SB,SZ
2_scott_0_1_1-segment_4,BA,NA
2_scott_0_2_2-segment_2,SA,SB
2_scott_0_3_3-segment_1,SZ,BA
2_scott_0_4_4-segment_2,SB,SA
2_scott_0_5_5-segment_4,NA,SZ
2_scott_0_4_4-segment_2,SB,BA
1_wayne_0_5_5-segment_2,SA,SB
1_wayne_0_3_3-segment_3,SZ,NA
2_scott_0_1_1-segment_4,BA,SB
1_wayne_0_2_2-segment_2,NA,SA
1_wayne_0_5_5-segment_2,SZ,SB
2_scott_0_1_1-segment_4,BA,SA
2_scott_0_2_2-segment_2,SB,SZ
2_scott_0_3_3-segment_1,SA,NA
2_scott_0_4_4-segment_2,SZ,SB
2_scott_0_5_5-segment_4,BA,SA
2_scott_0_4_4-segment_2,SB,NA
