clip_name,system_1,system_2
1_wayne_0_1_1-segment_1,SB,SZ
1_wayne_0_2_2-segment_2,NA,NA
1_wayne_0_3_3-segment_3,BA,SB
1_wayne_0_4_4-segment_1,NA,SA
1_wayne_0_5_5-segment_2,SZ,SZ
2_scott_0_1_1-segment_4,SB,BA
2_scott_0_2_2-segment_2,SA,SZ
2_scott_0_3_3-segment_1,NA,SA
2_scott_0_4_4-segment_2,NA,SA
2_scott_0_5_5-segment_4,NA,BA
3_solomon_0_1_1-segment_1,SZ,SA
3_solomon_0_2_2-segment_2,SA,SZ
3_solomon_0_3_3-segment_1,SZ,NA
3_solomon_0_4_4-segment_2,BA,BA
3_solomon_0_5_5-segment_4,SA,BA
4_lawrence_0_1_1-segment_1,SA,SB
4_lawrence_0_2_2-segment_2,SA,BA
4_lawrence_0_3_3-segment_1,SB,SZ
4_lawrence_0_4_4-segment_2,SA,SA
4_lawrence_0_5_5-segment_4,NA,SZ
5_stewart_0_1_1-segment_1,BA,SB
5_stewart_0_2_2-segment_2,SA,BA
5_stewart_0_3_3-segment_1,SB,NA
5_stewart_0_4_4-segment_2,SA,SA
5_stewart_0_5_5-segment_4,BA,SA
