clip_name,system_1,system_2
1_wayne_0_1_1-segment_1,SZ,SA
1_wayne_0_2_2-segment_2,NA,BA
1_wayne_0_3_3-segment_3,SZ,NA
1_wayne_0_4_4-segment_1,SZ,NA
1_wayne_0_5_5-segment_2,SZ,SA
2_scott_0_1_1-segment_4,SZ,SZ
2_scott_0_2_2-segment_2,BA,NA
2_scott_0_3_3-segment_1,SA,NA
2_scott_0_4_4-segment_2,NA,NA
2_scott_0_5_5-segment_4,BA,SA
3_solomon_0_1_1-segment_1,SA,SB
3_solomon_0_2_2-segment_2,SB,SB
3_solomon_0_3_3-segment_1,SZ,BA
3_solomon_0_4_4-segment_2,NA,NA
3_solomon_0_5_5-segment_4,BA,SZ
4_lawrence_0_1_1-segment_1,SA,SB
4_lawrence_0_2_2-segment_2,BA,SB
4_lawrence_0_3_3-segment_1,SZ,NA
4_lawrence_0_4_4-segment_2,NA,BA
4_lawrence_0_5_5-segment_4,BA,BA
5_stewart_0_1_1-segment_1,SA,SZ
5_stewart_0_2_2-segment_2,SA,NA
5_stewart_0_3_3-segment_1,BA,NA
5_stewart_0_4_4-segment_2,SB,SA
5_stewart_0_5_5-segment_4,NA,BA
