clip_name,system_1,system_2
1_wayne_0_1_1-segment_1,SB,BA
1_wayne_0_2_2-segment_2,BA,SB
1_wayne_0_3_3-segment_3,NA,SB
1_wayne_0_4_4-segment_1,NA,NA
1_wayne_0_5_5-segment_2,SZ,SB
2_scott_0_1_1-segment_4,SB,SB
2_scott_0_2_2-segment_2,SB,NA
2_scott_0_3_3-segment_1,SZ,SB
2_scott_0_4_4-segment_2,BA,BA
2_scott_0_5_5-segment_4,SA,BA
3_solomon_0_1_1-segment_1,SB,SA
3_solomon_0_2_2-segment_2,BA,NA
3_solomon_0_3_3-segment_1,NA,SZ
3_solomon_0_4_4-segment_2,NA,SA
3_solomon_0_5_5-segment_4,SB,SA
4_lawrence_0_1_1-segment_1,NA,BA
4_lawrence_0_2_2-segment_2,SB,SZ
4_lawrence_0_3_3-segment_1,SA,NA
4_lawrence_0_4_4-segment_2,NA,SB
4_lawrence_0_5_5-segment_4,NA,SA
5_stewart_0_1_1-segment_1,SA,SZ
5_stewart_0_2_2-segment_2,NA,BA
5_stewart_0_3_3-segment_1,SB,NA
5_stewart_0_4_4-segment_2,SZ,SZ
5_stewart_0_5_5-segment_4,BA,NA
