clip_name,system_1,system_2
1_wayne_0_1_1-segment_1,SA,SB
1_wayne_0_2_2-segment_2,SA,NA
1_wayne_0_3_3-segment_3,BA,SB
1_wayne_0_4_4-segment_1,NA,SB
1_wayne_0_5_5-segment_2,SA,SB
2_scott_0_1_1-segment_4,NA,SB
2_scott_0_2_2-segment_2,BA,SB
2_scott_0_3_3-segment_1,SZ,NA
2_scott_0_4_4-segment_2,SZ,SZ
2_scott_0_5_5-segment_4,SB,SB
3_solomon_0_1_1-segment_1,SA,SZ
3_solomon_0_2_2-segment_2,SZ,NA
3_solomon_0_3_3-segment_1,SB,BA
3_solomon_0_4_4-segment_2,SB,SB
3_solomon_0_5_5-segment_4,SA,SZ
4_lawrence_0_1_1-segment_1,NA,NA
4_lawrence_0_2_2-segment_2,SB,SA
4_lawrence_0_3_3-segment_1,SB,SZ
4_lawrence_0_4_4-segment_2,SZ,BA
4_lawrence_0_5_5-segment_4,BA,SZ
5_stewart_0_1_1-segment_1,SB,SB
5_stewart_0_2_2-segment_2,SZ,SZ
5_stewart_0_3_3-segment_1,BA,BA
5_stewart_0_4_4-segment_2,BA,NA
5_stewart_0_5_5-segment_4,NA,SZ
