clip_name,system_1,system_2
1_wayne_0_1_1-segment_1,BA,SZ
1_wayne_0_2_2-segment_2,SB,SA
1_wayne_0_3_3-segment_3,SB,BA
1_wayne_0_4_4-segment_1,NA,SB
1_wayne_0_5_5-segment_2,SZ,SZ
2_scott_0_1_1-segment_4,SB,BA
2_scott_0_2_2-segment_2,SZ,BA
2_scott_0_3_3-segment_1,BA,SB
2_scott_0_4_4-segment_2,BA,SB
2_scott_0_5_5-segment_4,BA,BA
3_solomon_0_1_1-segment_1,BA,SA
3_solomon_0_2_2-segment_2,SB,BA
3_solomon_0_3_3-segment_1,SB,SA
3_solomon_0_4_4-segment_2,BA,SA
3_solomon_0_5_5-segment_4,BA,SB
4_lawrence_0_1_1-segment_1,NA,SB
4_lawrence_0_2_2-segment_2,BA,SZ
4_lawrence_0_3_3-segment_1,SB,SA
4_lawrence_0_4_4-segment_2,BA,BA
4_lawrence_0_5_5-segment_4,NA,BA
5_stewart_0_1_1-segment_1,SA,BA
5_stewart_0_2_2-segment_2,BA,NA
5_stewart_0_3_3-segment_1,SB,SB
5_stewart_0_4_4-segment_2,SZ,NA
5_stewart_0_5_5-segment_4,SB,NA
