clip_name,system_1,system_2
1_wayne_0_1_1-segment_1,NA,SZ
1_wayne_0_2_2-segment_2,BA,SZ
1_wayne_0_3_3-segment_3,NA,SB
1_wayne_0_4_4-segment_1,BA,SA
1_wayne_0_5_5-segment_2,NA,NA
2_scott_0_1_1-segment_4,SZ,SZ
2_scott_0_2_2-segment_2,SZ,SA
2_scott_0_3_3-segment_1,NA,SB
2_scott_0_4_4-segment_2,SA,SA
2_scott_0_5_5-segment_4,SA,SB
3_solomon_0_1_1-segment_1,BA,SA
3_solomon_0_2_2-segment_2,NA,SB
3_solomon_0_3_3-segment_1,NA,BA
3_solomon_0_4_4-segment_2,SA,BA
3_solomon_0_5_5-segment_4,BA,SA
4_lawrence_0_1_1-segment_1,SA,NA
4_lawrence_0_2_2-segment_2,SA,SA
4_lawrence_0_3_3-segment_1,SA,NA
4_lawrence_0_4_4-segment_2,SZ,SZ
4_lawrence_0_5_5-segment_4,SZ,SB
5_stewart_0_1_1-segment_1,SZ,SZ
5_stewart_0_2_2-segment_2,SB,SZ
5_stewart_0_3_3-segment_1,SZ,SB
5_stewart_0_4_4-segment_2,NA,SZ
5_stewart_0_5_5-segment_4,BA,SB
