clip_name,system_1,system_2
1_wayne_0_1_1-segment_1,SA,SB
1_wayne_0_2_2-segment_2,SZ,SZ
1_wayne_0_3_3-segment_3,NA,NA
1_wayne_0_4_4-segment_1,SA,SA
1_wayne_0_5_5-segment_2,BA,BA
2_scott_0_1_1-segment_4,BA,NA
2_scott_0_2_2-segment_2,BA,SZ
2_scott_0_3_3-segment_1,BA,SZ
2_scott_0_4_4-segment_2,NA,BA
2_scott_0_5_5-segment_4,BA,SB
3_solomon_0_1_1-segment_1,NA,SA
3_solomon_0_2_2-segment_2,BA,NA
3_solomon_0_3_3-segment_1,SZ,SA
3_solomon_0_4_4-segment_2,SA,SA
3_solomon_0_5_5-segment_4,BA,SA
4_lawrence_0_1_1-segment_1,NA,SZ
4_lawrence_0_2_2-segment_2,SZ,SZ
4_lawrence_0_3_3-segment_1,BA,NA
4_lawrence_0_4_4-segment_2,SA,BA
4_lawrence_0_5_5-segment_4,NA,SA
5_stewart_0_1_1-segment_1,NA,SB
5_stewart_0_2_2-segment_2,SB,NA
5_stewart_0_3_3-segment_1,NA,SZ
5_stewart_0_4_4-segment_2,SZ,SB
5_stewart_0_5_5-segment_4,SA,SB
