clip_name,system_1,system_2
1_wayne_0_1_1-segment_1,SA,BA
1_wayne_0_2_2-segment_2,NA,BA
1_wayne_0_3_3-segment_3,SB,SB
1_wayne_0_4_4-segment_1,SB,SZ
1_wayne_0_5_5-segment_2,NA,SB
2_scott_0_1_1-segment_4,BA,SB
2_scott_0_2_2-segment_2,SB,SA
2_scott_0_3_3-segment_1,NA,NA
2_scott_0_4_4-segment_2,SZ,NA
2_scott_0_5_5-segment_4,SB,SA
3_solomon_0_1_1-segment_1,NA,SZ
3_solomon_0_2_2-segment_2,NA,NA
3_solomon_0_3_3-segment_1,SA,SZ
3_solomon_0_4_4-segment_2,SZ,NA
3_solomon_0_5_5-segment_4,BA,SZ
4_lawrence_0_1_1-segment_1,SZ,BA
4_lawrence_0_2_2-segment_2,SZ,BA
4_lawrence_0_3_3-segment_1,SZ,SZ
4_lawrence_0_4_4-segment_2,SA,NA
4_lawrence_0_5_5-segment_4,SB,SZ
5_stewart_0_1_1-segment_1,BA,BA
5_stewart_0_2_2-segment_2,SB,SB
5_stewart_0_3_3-segment_1,SA,BA
5_stewart_0_4_4-segment_2,SA,SA
5_stewart_0_5_5-segment_4,BA,BA
