clip_name,system_1,system_2
1_wayne_0_1_1-segment_1,SA,SB
1_wayne_0_2_2-segment_2,SZ,SZ
1_wayne_0_3_3-segment_3,NA,NA
1_wayne_0_4_4-segment_1,SB,SZ
1_wayne_0_5_5-segment_2,NA,SA
2_scott_0_1_1-segment_4,BA,SB
2_scott_0_2_2-segment_2,SB,BA
2_scott_0_3_3-segment_1,SZ,SA
2_scott_0_4_4-segment_2,NA,BA
2_scott_0_5_5-segment_4,NA,SA
3_solomon_0_1_1-segment_1,SA,SB
3_solomon_0_2_2-segment_2,NA,SB
3_solomon_0_3_3-segment_1,BA,SA
3_solomon_0_4_4-segment_2,SA,NA
3_solomon_0_5_5-segment_4,NA,SA
4_lawrence_0_1_1-segment_1,SZ,SB
4_lawrence_0_2_2-segment_2,SZ,SA
4_lawrence_0_3_3-segment_1,NA,SA
4_lawrence_0_4_4-segment_2,BA,NA
4_lawrence_0_5_5-segment_4,BA,BA
5_stewart_0_1_1-segment_1,BA,SB
5_stewart_0_2_2-segment_2,SA,SZ
5_stewart_0_3_3-segment_1,NA,BA
5_stewart_0_4_4-segment_2,SB,SB
5_stewart_0_5_5-segment_4,BA,BA
