clip_name,system_1,system_2
1_wayne_0_1_1-segment_1,NA,SA
1_wayne_0_2_2-segment_2,BA,SA
1_wayne_0_3_3-segment_3,NA,BA
1_wayne_0_4_4-segment_1,SZ,BA
1_wayne_0_5_5-segment_2,BA,SB
2_scott_0_1_1-segment_4,BA,BA
2_scott_0_2_2-segment_2,BA,SA
2_scott_0_3_3-segment_1,SA,SB
2_scott_0_4_4-segment_2,SZ,SB
2_scott_0_5_5-segment_4,NA,BA
3_solomon_0_1_1-segment_1,SB,BA
3_solomon_0_2_2-segment_2,SA,BA
3_solomon_0_3_3-segment_1,BA,SB
3_solomon_0_4_4-segment_2,SA,SA
3_solomon_0_5_5-segment_4,SZ,SA
4_lawrence_0_1_1-segment_1,SZ,SA
4_lawrence_0_2_2-segment_2,NA,SA
4_lawrence_0_3_3-segment_1,SB,SB
4_lawrence_0_4_4-segment_2,NA,SA
4_lawrence_0_5_5-segment_4,SB,NA
5_stewart_0_1_1-segment_1,SA,SZ
5_stewart_0_2_2-segment_2,SA,SB
5_stewart_0_3_3-segment_1,SZ,SB
5_stewart_0_4_4-segment_2,SA,BA
5_stewart_0_5_5-segment_4,NA,NA
