clip_name,system_1,system_2
1_wayne_0_1_1-segment_1,SB,SB
1_wayne_0_2_2-segment_2,SA,BA
1_wayne_0_3_3-segment_3,NA,BA
1_wayne_0_4_4-segment_1,NA,NA
1_wayne_0_5_5-segment_2,SZ,NA
2_scott_0_1_1-segment_4,BA,SZ
2_scott_0_2_2-segment_2,BA,SB
2_scott_0_3_3-segment_1,SB,SB
2_scott_0_4_4-segment_2,SB,SZ
2_scott_0_5_5-segment_4,BA,SA
3_solomon_0_1_1-segment_1,NA,SB
3_solomon_0_2_2-segment_2,BA,BA
3_solomon_0_3_3-segment_1,BA,SB
3_solomon_0_4_4-segment_2,NA,NA
3_solomon_0_5_5-segment_4,SB,SB
4_lawrence_0_1_1-segment_1,NA,SB
4_lawrence_0_2_2-segment_2,SA,SA
4_lawrence_0_3_3-segment_1,SA,BA
4_lawrence_0_4_4-segment_2,BA,BA
4_lawrence_0_5_5-segment_4,BA,SA
5_stewart_0_1_1-segment_1,SB,NA
5_stewart_0_2_2-segment_2,SB,BA
5_stewart_0_3_3-segment_1,SA,SA
5_stewart_0_4_4-segment_2,SB,BA
5_stewart_0_5_5-segment_4,SA,SZ
